company_id,company
1,Dataquestcorp
2,"JPMorgan Chase Bank, N.A."
3,Discord
4,YT Global Network
5,excelon solutuion
6,Science Systems & Applications
7,Delta
8,Hewlett Packard Enterprise
9,Hunter Engineering
10,Vetro Tech Inc
11,Electric Hydrogen
12,Anblicks
13,Havas Group
14,Liberty Mutual Insurance
15,BigHat Biosciences
16,The University of Chicago
17,SETI Institute
18,Adobe
19,Cobbs Creek Healthcare
20,Forward
21,C3 AI
22,pulseData
23,Bayer
24,MediaMath
25,Duolingo
26,University of Memphis
27,Aristocrat Technologies Inc
